Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLMay2,NoStemsFinal,NoStemsMay2
1,511,Early Mow,n,y,n,64,186,62,7,7,67,19,1,1
1,512,Control,n,n,n,49,171,107,11,11,112,18,2,1
1,513,Rosette Damage,y,n,n,49,171,92,14,14,99,25,4,1
1,514,Rosette Damage/Early Mow/Late Mow,y,y,y,64,186,70,15,15,72,28,4,2
2,531,Control,n,n,n,40,162,105,9,9,115,15,1,1
2,532,Rosette Damage/Late Mow,y,n,y,,,,0,0,6,19,1,1
2,533,Early Mow/Late Mow,n,y,y,70,192,36,4,5,37,18,2,1
2,534,Rosette Damage/Early Mow,y,y,n,64,186,62,11,11,64,20,3,1
3,551,Control,n,n,n,35,157,125,21,21,180,24,1,1
3,552,Early Mow/Late Mow,n,y,y,64,186,74,14,14,74,19,5,1
3,553,Rosette Damage,y,n,n,40,162,117,9,9,119,18,1,1
3,554,Late Mow,n,n,y,,,,2,3,10,22,0,1
4,571,Rosette Damage/Early Mow,y,y,n,64,186,67,2,2,67,20,1,1
4,572,Rosette Damage/Late Mow,y,n,y,,,,0,2,7,15,0,4
4,573,Rosette Damage,y,n,n,40,162,66,8,8,68,17,2,2
4,574,Late Mow,n,n,y,70,192,37,8,8,40,17,4,3
1,621,Early Mow/Late Mow,n,y,y,,,,3,3,9,21,0,1
1,622,Rosette Damage/Late Mow,y,n,y,,,,2,3,12,14,0,1
1,623,Rosette Damage/Early Mow,y,y,n,64,186,59,5,5,64,20,3,1
1,624,Late Mow,n,n,y,,,,0,4,5,20,0,1
2,641,Rosette Damage/Early Mow/Late Mow,y,y,y,70,192,28,7,7,30,17,4,1
2,642,Rosette Damage,y,n,n,49,171,95,10,10,95,21,1,1
2,643,Early Mow,n,y,n,64,186,59,4,4,59,21,2,1
2,644,Late Mow,n,n,y,,,,2,3,12,22,0,1
3,661,Early Mow,n,y,n,64,186,61,5,5,61,19,3,1
3,662,Rosette Damage/Late Mow,y,n,y,,,,1,3,9,22,0,1
3,663,Rosette Damage/Early Mow/Late Mow,y,y,y,70,192,29,5,5,30,19,3,1
3,664,Rosette Damage/Early Mow,y,y,n,70,192,32,4,4,32,14,3,1
4,681,Early Mow/Late Mow,n,y,y,,,,3,3,17,18,3,1
4,682,Control,n,n,n,40,162,101,11,11,113,17,1,1
4,683,Early Mow,n,y,n,56,178,85,8,8,91,20,3,1
4,684,Rosette Damage/Early Mow/Late Mow,y,y,y,77,199,24,5,5,24,23,2,1
1,711,Rosette Damage,y,n,n,49,171,112,8,8,113,16,3,5
1,712,Control,n,n,n,49,171,97,18,18,97,19,5,1
1,713,Early Mow/Late Mow,n,y,y,,,,0,0,5,18,0,1
1,714,Late Mow,n,n,y,,,,0,2,7,16,0,4
2,731,Early Mow/Late Mow,n,y,y,70,192,23,2,2,23,22,1,1
2,732,Early Mow,n,y,n,64,186,61,6,6,61,16,5,3
2,733,Rosette Damage,y,n,n,56,178,94,11,11,94,21,1,1
2,734,Rosette Damage/Early Mow,y,y,n,56,178,74,5,5,74,18,2,4
3,751,Rosette Damage/Late Mow,y,n,y,,,,2,3,11,20,1,2
