Row,Group,Plant,Treatment,PreMowLLL
5,1,1,Early Mow,21
5,1,4,Rosette Damage/Early Mow/Late Mow,23
5,3,2,Rosette Damage/Late Mow,16
5,3,3,Early Mow/Late Mow,18
5,3,4,Rosette Damage/Early Mow,15
5,5,2,Early Mow/Late Mow,20
5,5,4,Late Mow,17
5,7,1,Rosette Damage/Early Mow,21
5,7,2,Rosette Damage/Late Mow,13
5,7,4,Late Mow,15
6,2,1,Early Mow/Late Mow,20
6,2,2,Rosette Damage/Late Mow,11
6,2,3,Rosette Damage/Early Mow,16
6,2,4,Late Mow,13
6,4,1,Rosette Damage/Early Mow/Late Mow,17
6,4,3,Early Mow,19
6,4,4,Late Mow,22
6,6,1,Early Mow,21
6,6,2,Rosette Damage/Late Mow,16
6,6,3,Rosette Damage/Early Mow/Late Mow,15
6,6,4,Rosette Damage/Early Mow,14
6,8,1,Early Mow/Late Mow,16
6,8,3,Early Mow,19
6,8,4,Rosette Damage/Early Mow/Late Mow,16
7,1,3,Early Mow/Late Mow,18
7,1,4,Late Mow,17
7,3,1,Early Mow/Late Mow,23
7,3,2,Early Mow,14
7,3,4,Rosette Damage/Early Mow,13
7,5,1,Rosette Damage/Late Mow,17
7,5,3,Rosette Damage/Early Mow/Late Mow,18
7,5,4,Rosette Damage/Early Mow,18
7,7,1,Early Mow,17
7,7,2,Rosette Damage/Late Mow,15
7,7,4,Rosette Damage/Early Mow/Late Mow,17
8,2,1,Rosette Damage/Early Mow,12
8,2,2,Early Mow,17
8,2,3,Rosette Damage/Late Mow,16
8,2,4,Rosette Damage/Early Mow/Late Mow,14
8,4,1,Rosette Damage/Early Mow/Late Mow,20
8,4,2,Late Mow,25
8,4,3,Rosette Damage/Late Mow,12
8,6,1,Late Mow,18
8,6,3,Early Mow,22
8,6,4,Early Mow/Late Mow,17
8,8,1,Rosette Damage/Early Mow,19
8,8,4,Late Mow,13
9,1,1,Late Mow,27
9,1,2,Rosette Damage/Late Mow,17
9,1,4,Early Mow/Late Mow,22
9,3,1,Rosette Damage/Early Mow,18
9,3,3,Early Mow/Late Mow,23
9,3,4,Early Mow,19
9,5,1,Rosette Damage/Early Mow/Late Mow,21
9,5,3,Rosette Damage/Late Mow,18
9,5,4,Early Mow/Late Mow,16
9,7,1,Rosette Damage/Early Mow/Late Mow,15
9,7,2,Rosette Damage/Early Mow,16
9,7,4,Late Mow,20
10,2,1,Rosette Damage/Early Mow,13
10,2,2,Early Mow,21
10,2,4,Rosette Damage/Early Mow/Late Mow,22
10,4,2,Rosette Damage/Late Mow,12
10,4,3,Late Mow,20
10,4,4,Rosette Damage/Early Mow/Late Mow,12
10,6,1,Late Mow,23
10,6,2,Rosette Damage/Early Mow,20
10,6,3,Early Mow,16
10,8,1,Early Mow,16
10,8,3,Early Mow/Late Mow,24
10,8,4,Rosette Damage/Late Mow,16
