Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FinCap,FinMatureCap,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLApr30,NoStemsFinal,NoStemsApr30
1,511,Early Mow/Late Mow,n,y,y,6,6,68,188,66,6,6,72,17,4,3
1,512,Control,n,n,n,39,37,48,168,99,37,37,179,20,3,2
1,513,Late Mow,n,n,y,7,6,76,196,75,6,6,75,20,5,3
1,514,Rosette Damage/Early Mow/Late Mow,y,y,y,2,2,89,209,51,2,2,51,20,4,3
1,551,Rosette Damage/Early Mow/Late Mow,y,y,y,13,12,68,188,93,12,12,102,32,3,3
1,552,Rosette Damage/Late Mow,y,n,y,5,5,68,188,80,5,5,97,29,1,1
1,553,Early Mow,n,y,n,8,8,61,181,71,8,8,83,26,5,1
1,554,Control,n,n,n,58,52,48,168,213,52,52,226,35,1,1
1,641,Late Mow,n,n,y,7,3,76,196,67,3,3,67,33,4,3
1,642,Rosette Damage,y,n,n,52,47,48,168,138,47,47,156,38,3,3
1,643,Rosette Damage/Early Mow,y,y,n,8,8,61,181,80,8,8,95,42,4,1
1,644,Early Mow/Late Mow,n,y,y,23,21,61,181,97,21,21,103,34,7,1
1,661,Control,n,n,n,7,6,48,168,116,6,6,121,33,3,1
1,662,Rosette Damage/Late Mow,y,n,y,9,5,68,188,76,5,5,94,45,2,2
1,663,Late Mow,n,n,y,11,8,68,188,98,8,8,113,38,2,1
1,664,Rosette Damage/Early Mow,y,y,n,16,13,61,181,89,13,13,104,30,3,1
1,711,Rosette Damage/Late Mow,y,n,y,2,2,76,196,40,2,2,40,21,2,1
1,712,Early Mow,n,y,n,60,52,54,174,79,52,52,112,34,7,1
1,713,Rosette Damage/Early Mow,y,y,n,10,10,61,181,108,10,10,108,30,4,1
1,714,Rosette Damage,y,n,n,15,12,54,174,109,12,12,118,23,1,1
1,751,Rosette Damage,y,n,n,21,21,54,174,104,21,21,125,25,4,1
1,752,Rosette Damage/Early Mow/Late Mow,y,y,y,5,3,68,188,81,3,3,88,33,2,2
1,753,Early Mow,n,y,n,40,37,54,174,94,37,37,117,40,7,2
1,754,Early Mow/Late Mow,n,y,y,8,7,68,188,74,7,7,81,24,3,2
1,861,Control,n,n,n,49,47,48,168,191,47,47,214,41,3,1
1,862,Late Mow,n,n,y,17,15,61,181,80,15,15,94,45,6,1
1,863,Rosette Damage/Early Mow/Late Mow,y,y,y,5,4,68,188,80,4,4,80,40,3,1
1,864,Rosette Damage/Early Mow,y,y,n,4,4,68,188,78,50,50,78,40,3,2
1,881,Early Mow,n,y,n,11,11,54,174,108,11,11,108,36,6,2
1,882,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,27,0,1
1,883,Early Mow/Late Mow,n,y,y,5,4,68,188,50,4,4,51,22,3,1
1,884,Rosette Damage,y,n,n,38,31,48,168,165,31,31,176,32,1,1
2,911,Early Mow,n,y,n,4,4,76,196,71,4,4,71,17,2,1
2,912,Rosette Damage,y,n,n,33,31,48,168,176,31,31,190,25,1,1
