Block,RGP,Treatment,Capitulum,AvgCapDia
1,511,Early Mow/Late Mow,1,1.85
1,511,Early Mow/Late Mow,2,2.05
1,511,Early Mow/Late Mow,3,2.05
1,511,Early Mow/Late Mow,4,2.1
1,511,Early Mow/Late Mow,5,1.75
1,511,Early Mow/Late Mow,6,1.65
1,512,Control,1,3.05
1,512,Control,2,1.8
1,512,Control,3,1.4
1,512,Control,4,1
1,512,Control,5,2.2
1,512,Control,6,2.5
1,512,Control,7,1.45
1,512,Control,8,0.8
1,512,Control,9,1.15
1,512,Control,10,1.95
1,512,Control,11,2.2
1,512,Control,12,2.4
1,512,Control,13,2.55
1,512,Control,14,1.45
1,512,Control,15,2.05
1,512,Control,17,1.7
1,512,Control,19,2.25
1,512,Control,20,1.95
1,512,Control,21,0.75
1,512,Control,22,1.95
1,512,Control,23,2.4
1,512,Control,24,1.9
1,512,Control,25,1.15
1,512,Control,26,1.35
1,512,Control,27,1.35
1,512,Control,28,1.5
1,512,Control,29,1.45
1,512,Control,30,2.15
1,512,Control,31,2.15
1,512,Control,32,1.1
1,512,Control,33,2.4
1,512,Control,34,2.2
1,512,Control,35,2.2
1,512,Control,36,1.3
1,512,Control,37,1.65
1,512,Control,38,2.35
1,512,Control,39,2.95
1,513,Late Mow,2,1.6
1,513,Late Mow,3,1.55
1,513,Late Mow,4,1.25
1,513,Late Mow,5,1.85
1,513,Late Mow,6,1.7
1,513,Late Mow,7,1.45
1,514,Rosette Damage/Early Mow/Late Mow,1,1.1
1,514,Rosette Damage/Early Mow/Late Mow,2,1.15
1,551,Rosette Damage/Early Mow/Late Mow,1,1.45
1,551,Rosette Damage/Early Mow/Late Mow,3,1.9
1,551,Rosette Damage/Early Mow/Late Mow,4,1.9
1,551,Rosette Damage/Early Mow/Late Mow,5,1.75
1,551,Rosette Damage/Early Mow/Late Mow,6,2.25
1,551,Rosette Damage/Early Mow/Late Mow,7,0.85
1,551,Rosette Damage/Early Mow/Late Mow,8,1.7
1,551,Rosette Damage/Early Mow/Late Mow,9,1.6
1,551,Rosette Damage/Early Mow/Late Mow,10,1.65
1,551,Rosette Damage/Early Mow/Late Mow,11,1.85
1,551,Rosette Damage/Early Mow/Late Mow,12,2.05
1,551,Rosette Damage/Early Mow/Late Mow,13,2.7
1,552,Rosette Damage/Late Mow,1,2
1,552,Rosette Damage/Late Mow,2,1.8
1,552,Rosette Damage/Late Mow,3,1.5
1,552,Rosette Damage/Late Mow,4,1.85
1,552,Rosette Damage/Late Mow,5,2.1
1,553,Early Mow,1,1.55
1,553,Early Mow,2,1.2
1,553,Early Mow,3,1
1,553,Early Mow,4,1.9
1,553,Early Mow,5,1.6
1,553,Early Mow,6,0.7
1,553,Early Mow,7,1.25
1,553,Early Mow,8,1
1,554,Control,2,2.1
1,554,Control,3,2
1,554,Control,4,1.75
1,554,Control,5,1.65
1,554,Control,6,2.1
1,554,Control,7,1.95
1,554,Control,8,3.05
1,554,Control,9,1.8
1,554,Control,10,1.65
1,554,Control,11,1.55
1,554,Control,12,0.9
1,554,Control,13,1.65
1,554,Control,14,2
1,554,Control,15,1.7
1,554,Control,16,1.15
1,554,Control,17,1.7
1,554,Control,18,1.6
1,554,Control,19,2.35
1,554,Control,20,2.05
1,554,Control,21,2.25
1,554,Control,22,1.25
1,554,Control,23,1.55
1,554,Control,24,1.8
1,554,Control,25,1.55
1,554,Control,26,1.35
1,554,Control,27,1.6
1,554,Control,28,2.8
1,554,Control,30,1.55
1,554,Control,31,1.75
1,554,Control,32,1.4
1,554,Control,33,2.45
1,554,Control,34,1.05
1,554,Control,35,2.15
1,554,Control,36,1.7
1,554,Control,37,1.55
