Year,Block,RGP,Treatment,RosDam,EarlyMow,LateMow,FinCap,FinMatureCap,FloweringDate_doe,FloweringDate_doy,HeightatFlowering,MaxCapitula,MaxCapitulaIncPreTrtSeedProducers,MaxHeight,LLLSpring,NoStemsFinal,NoStemsSpring
2025,1,511,Early Mow/Late Mow,n,y,y,6,6,68,188,66,6,6,72,17,4,3
2025,1,512,Control,n,n,n,39,37,48,168,99,37,37,179,20,3,2
2025,1,513,Late Mow,n,n,y,7,6,76,196,75,6,6,75,20,5,3
2025,1,514,Rosette Damage/Early Mow/Late Mow,y,y,y,2,2,89,209,51,2,2,51,20,4,3
2025,1,551,Rosette Damage/Early Mow/Late Mow,y,y,y,13,12,68,188,93,12,12,102,32,3,3
2025,1,552,Rosette Damage/Late Mow,y,n,y,5,5,68,188,80,5,5,97,29,1,1
2025,1,553,Early Mow,n,y,n,8,8,61,181,71,8,8,83,26,5,1
2025,1,554,Control,n,n,n,58,52,48,168,213,52,52,226,35,1,1
2025,1,641,Late Mow,n,n,y,7,3,76,196,67,3,3,67,33,4,3
2025,1,642,Rosette Damage,y,n,n,52,47,48,168,138,47,47,156,38,3,3
2025,1,643,Rosette Damage/Early Mow,y,y,n,8,8,61,181,80,8,8,95,42,4,1
2025,1,644,Early Mow/Late Mow,n,y,y,23,21,61,181,97,21,21,103,34,7,1
2025,1,661,Control,n,n,n,7,6,48,168,116,6,6,121,33,3,1
2025,1,662,Rosette Damage/Late Mow,y,n,y,9,5,68,188,76,5,5,94,45,2,2
2025,1,663,Late Mow,n,n,y,11,8,68,188,98,8,8,113,38,2,1
2025,1,664,Rosette Damage/Early Mow,y,y,n,16,13,61,181,89,13,13,104,30,3,1
2025,1,711,Rosette Damage/Late Mow,y,n,y,2,2,76,196,40,2,2,40,21,2,1
2025,1,712,Early Mow,n,y,n,60,52,54,174,79,52,52,112,34,7,1
2025,1,713,Rosette Damage/Early Mow,y,y,n,10,10,61,181,108,10,10,108,30,4,1
2025,1,714,Rosette Damage,y,n,n,15,12,54,174,109,12,12,118,23,1,1
2025,1,751,Rosette Damage,y,n,n,21,21,54,174,104,21,21,125,25,4,1
2025,1,752,Rosette Damage/Early Mow/Late Mow,y,y,y,5,3,68,188,81,3,3,88,33,2,2
2025,1,753,Early Mow,n,y,n,40,37,54,174,94,37,37,117,40,7,2
2025,1,754,Early Mow/Late Mow,n,y,y,8,7,68,188,74,7,7,81,24,3,2
2025,1,861,Control,n,n,n,49,47,48,168,191,47,47,214,41,3,1
2025,1,862,Late Mow,n,n,y,17,15,61,181,80,15,15,94,45,6,1
2025,1,863,Rosette Damage/Early Mow/Late Mow,y,y,y,5,4,68,188,80,4,4,80,40,3,1
2025,1,864,Rosette Damage/Early Mow,y,y,n,4,4,68,188,78,50,50,78,40,3,2
2025,1,881,Early Mow,n,y,n,11,11,54,174,108,11,11,108,36,6,2
2025,1,882,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,27,0,1
2025,1,883,Early Mow/Late Mow,n,y,y,5,4,68,188,50,4,4,51,22,3,1
2025,1,884,Rosette Damage,y,n,n,38,31,48,168,165,31,31,176,32,1,1
2025,2,911,Early Mow,n,y,n,4,4,76,196,71,4,4,71,17,2,1
2025,2,912,Rosette Damage,y,n,n,33,31,48,168,176,31,31,190,25,1,1
2025,2,913,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,17,0,1
2025,2,914,Control,n,n,n,21,20,54,174,96,20,20,116,18,1,1
2025,2,931,Rosette Damage/Early Mow/Late Mow,y,y,y,16,13,68,188,92,13,13,102,30,4,1
2025,2,932,Rosette Damage/Early Mow,y,y,n,11,10,61,181,90,10,10,102,27,3,1
2025,2,933,Early Mow,n,y,n,48,43,61,181,112,43,43,131,36,6,1
2025,2,934,Late Mow,n,n,y,16,14,68,188,57,14,14,59,28,6,1
2025,2,951,Rosette Damage/Early Mow,y,y,n,5,4,61,181,69,4,4,86,26,3,1
2025,2,952,Control,n,n,n,19,17,48,168,122,17,17,140,20,1,1
2025,2,953,Late Mow,n,n,y,5,3,61,181,56,3,3,65,24,2,1
2025,2,954,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,21,0,1
2025,2,971,Rosette Damage,y,n,n,12,9,54,174,113,9,9,118,14,2,2
2025,2,972,Control,n,n,n,43,37,54,174,101,37,37,103,22,1,1
2025,2,973,Early Mow/Late Mow,n,y,y,15,14,61,181,83,14,14,83,30,4,1
2025,2,974,Rosette Damage/Early Mow/Late Mow,y,y,y,4,1,83,203,45,1,1,49,33,1,1
2025,2,1021,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,5,21,0,1
2025,2,1022,Rosette Damage/Early Mow,y,y,n,10,10,68,188,94,10,10,95,25,3,1
2025,2,1023,Late Mow,n,n,y,0,0,,,,0,0,8,28,0,1
2025,2,1024,Early Mow/Late Mow,n,y,y,16,15,61,181,91,15,15,91,33,7,1
2025,2,1041,Rosette Damage,y,n,n,24,23,54,174,120,23,23,123,22,2,1
2025,2,1042,Control,n,n,n,6,6,54,174,104,6,6,107,22,3,1
2025,2,1043,Early Mow/Late Mow,n,y,y,0,0,,,,0,0,19,14,0,1
2025,2,1044,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,11,0,1
2025,2,1061,Early Mow/Late Mow,n,y,y,14,14,68,188,80,14,14,87,23,7,1
2025,2,1062,Early Mow,n,y,n,14,13,61,181,80,13,13,96,27,5,1
2025,2,1063,Rosette Damage,y,n,n,25,25,48,168,128,25,25,139,26,2,2
2025,2,1064,Rosette Damage/Early Mow/Late Mow,y,y,y,0,0,,,,0,0,5,12,0,1
2025,2,1081,Early Mow,n,y,n,22,16,68,188,95,16,16,95,25,5,2
2025,2,1082,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,18,33,0,1
2025,2,1083,Rosette Damage/Early Mow,y,y,n,3,3,68,188,55,3,3,60,22,2,2
2025,2,1084,Late Mow,n,n,y,7,1,83,203,32,1,1,32,33,3,2
2025,2,1111,Early Mow/Late Mow,n,y,y,6,5,68,188,87,5,5,89,22,2,1
2025,2,1112,Rosette Damage/Early Mow,y,y,n,17,15,61,181,98,15,15,112,27,3,2
2025,2,1113,Rosette Damage/Late Mow,y,n,y,0,0,,,,0,0,5,18,0,1
2025,2,1114,Early Mow,n,y,n,6,6,76,196,65,6,6,83,24,2,1
2025,2,1131,Control,n,n,n,18,18,48,168,153,18,18,155,22,3,3
2025,2,1132,Rosette Damage/Early Mow/Late Mow,y,y,y,4,4,83,203,42,4,4,49,22,3,2
2025,2,1133,Late Mow,n,n,y,0,0,,,,0,0,5,18,0,2
2025,2,1134,Rosette Damage,y,n,n,20,19,48,168,117,19,19,129,25,2,1
2025,2,1151,Control,n,n,n,19,19,54,174,135,19,19,148,24,1,1
