Year,Block,RGP,Treatment,Capitulum,AvgCapDia
2024,1,511,Early Mow,1,0.9
2024,1,511,Early Mow,2,1.9
2024,1,511,Early Mow,3,1.75
2024,1,511,Early Mow,4,2.3
2024,1,511,Early Mow,5,1.6
2024,1,511,Early Mow,6,1.65
2024,1,511,Early Mow,7,2.2
2024,1,512,Control,2,1.3
2024,1,512,Control,3,2.2
2024,1,512,Control,4,2.1
2024,1,512,Control,5,2.95
2024,1,512,Control,6,2.5
2024,1,512,Control,7,1.9
2024,1,512,Control,8,2.25
2024,1,512,Control,9,2.2
2024,1,512,Control,10,2.45
2024,1,513,Rosette Damage,1,1.75
2024,1,513,Rosette Damage,2,1.6
2024,1,513,Rosette Damage,3,1.7
2024,1,513,Rosette Damage,4,2.4
2024,1,513,Rosette Damage,5,2.65
2024,1,513,Rosette Damage,6,2.35
2024,1,513,Rosette Damage,7,2
2024,1,513,Rosette Damage,8,1.2
2024,1,513,Rosette Damage,9,2.15
2024,1,513,Rosette Damage,10,2.3
2024,1,513,Rosette Damage,11,1.9
2024,1,513,Rosette Damage,12,1.4
2024,1,513,Rosette Damage,13,2.05
2024,1,514,Rosette Damage/Early Mow/Late Mow,1,1.8
2024,1,514,Rosette Damage/Early Mow/Late Mow,2,1.25
2024,1,514,Rosette Damage/Early Mow/Late Mow,3,1.7
2024,1,514,Rosette Damage/Early Mow/Late Mow,4,1.55
2024,1,514,Rosette Damage/Early Mow/Late Mow,5,1.7
2024,1,514,Rosette Damage/Early Mow/Late Mow,6,1.45
2024,1,514,Rosette Damage/Early Mow/Late Mow,7,1.8
2024,1,514,Rosette Damage/Early Mow/Late Mow,8,1
2024,2,531,Control,1,2.85
2024,2,531,Control,2,1.75
2024,2,531,Control,3,2.6
2024,2,531,Control,4,3.45
2024,2,531,Control,5,2.8
2024,2,531,Control,6,2.1
2024,2,531,Control,7,2.4
2024,2,532,Rosette Damage/Late Mow,,
2024,2,533,Early Mow/Late Mow,1,1.35
2024,2,533,Early Mow/Late Mow,2,1.55
2024,2,534,Rosette Damage/Early Mow,2,1.45
2024,2,534,Rosette Damage/Early Mow,3,1.35
2024,2,534,Rosette Damage/Early Mow,4,1.4
2024,2,534,Rosette Damage/Early Mow,5,2
2024,2,534,Rosette Damage/Early Mow,6,2.3
2024,2,534,Rosette Damage/Early Mow,7,2.3
2024,3,551,Control,1,2.05
2024,3,551,Control,2,1.5
2024,3,551,Control,3,2.35
2024,3,551,Control,4,1.75
2024,3,551,Control,5,3.15
2024,3,551,Control,6,2.2
2024,3,551,Control,7,3.4
2024,3,551,Control,8,2.95
2024,3,551,Control,9,2.1
2024,3,551,Control,11,3.45
2024,3,551,Control,12,3.75
2024,3,551,Control,13,2.05
2024,3,551,Control,14,2.45
2024,3,551,Control,15,3.25
2024,3,551,Control,16,1.8
2024,3,551,Control,17,2.75
2024,3,551,Control,18,3.7
2024,3,551,Control,19,1
2024,3,552,Early Mow/Late Mow,6,2.2
2024,3,552,Early Mow/Late Mow,7,2.5
2024,3,552,Early Mow/Late Mow,8,2.2
2024,3,552,Early Mow/Late Mow,9,1.5
2024,3,552,Early Mow/Late Mow,10,1.4
2024,3,552,Early Mow/Late Mow,11,1.55
2024,3,552,Early Mow/Late Mow,12,1.65
2024,3,552,Early Mow/Late Mow,13,0.8
2024,3,552,Early Mow/Late Mow,14,2.5
2024,3,553,Rosette Damage,1,1.2
2024,3,553,Rosette Damage,2,2.25
2024,3,553,Rosette Damage,3,2
2024,3,553,Rosette Damage,4,2.35
2024,3,553,Rosette Damage,5,1.5
2024,3,553,Rosette Damage,6,1.85
2024,3,553,Rosette Damage,7,3.1
2024,3,554,Late Mow,1,0.5
2024,4,571,Rosette Damage/Early Mow,2,2.35
2024,4,572,Rosette Damage/Late Mow,,
2024,4,573,Rosette Damage,1,1.05
2024,4,573,Rosette Damage,2,1.25
2024,4,573,Rosette Damage,3,2.45
2024,4,573,Rosette Damage,4,1.6
2024,4,573,Rosette Damage,5,1.25
2024,4,573,Rosette Damage,6,2.35
2024,4,573,Rosette Damage,7,2.3
2024,4,574,Late Mow,4,1.55
2024,4,574,Late Mow,5,1.2
2024,4,574,Late Mow,6,1
2024,1,621,Early Mow/Late Mow,,
2024,1,622,Rosette Damage/Late Mow,1,0.45
2024,1,623,Rosette Damage/Early Mow,1,1.25
2024,1,623,Rosette Damage/Early Mow,2,1.45
2024,1,623,Rosette Damage/Early Mow,3,2.3
2024,1,623,Rosette Damage/Early Mow,4,2.25
2024,1,624,Late Mow,,
2024,2,641,Rosette Damage/Early Mow/Late Mow,1,0.95
2024,2,641,Rosette Damage/Early Mow/Late Mow,2,1.35
2024,2,641,Rosette Damage/Early Mow/Late Mow,3,0.9
2024,2,641,Rosette Damage/Early Mow/Late Mow,4,1.4
2024,2,642,Rosette Damage,1,1.4
2024,2,642,Rosette Damage,2,1.85
2024,2,642,Rosette Damage,3,1.35
2024,2,642,Rosette Damage,4,2.8
2024,2,642,Rosette Damage,5,2.45
2024,2,642,Rosette Damage,6,2.9
2024,2,642,Rosette Damage,7,1.95
2024,2,642,Rosette Damage,8,1.5
2024,2,642,Rosette Damage,9,2.55
2024,2,643,Early Mow,3,2.85
2024,2,643,Early Mow,4,2.4
2024,2,644,Late Mow,,
2024,3,661,Early Mow,1,1.15
2024,3,661,Early Mow,2,2.35
2024,3,661,Early Mow,3,1
2024,3,661,Early Mow,4,1
2024,3,661,Early Mow,5,2.25
2024,3,662,Rosette Damage/Late Mow,,
2024,3,663,Rosette Damage/Early Mow/Late Mow,1,1.25
2024,3,663,Rosette Damage/Early Mow/Late Mow,2,1.45
2024,3,663,Rosette Damage/Early Mow/Late Mow,3,1.45
2024,3,664,Rosette Damage/Early Mow,2,1.05
2024,3,664,Rosette Damage/Early Mow,5,1.55
2024,4,681,Early Mow/Late Mow,3,0.7
2024,4,682,Control,2,0.85
2024,4,682,Control,3,1.9
2024,4,682,Control,4,1.75
2024,4,682,Control,5,2.85
2024,4,682,Control,6,2.45
2024,4,682,Control,7,2.7
2024,4,682,Control,8,2.25
2024,4,682,Control,9,2.85
2024,4,682,Control,10,2.75
2024,4,682,Control,11,2.25
2024,4,683,Early Mow,2,2.8
2024,4,683,Early Mow,3,1.55
2024,4,683,Early Mow,4,1.5
2024,4,683,Early Mow,5,2.6
2024,4,683,Early Mow,6,2.5
2024,4,683,Early Mow,7,1.95
2024,4,684,Early Mow/Late Mow,1,1.05
2024,4,684,Early Mow/Late Mow,3,0.65
2024,1,711,Rosette Damage,1,0.95
2024,1,711,Rosette Damage,2,3.05
2024,1,711,Rosette Damage,3,3.15
2024,1,711,Rosette Damage,4,1
2024,1,711,Rosette Damage,5,2
2024,1,711,Rosette Damage,6,2
2024,1,711,Rosette Damage,7,2.5
2024,1,712,Control,1,1.95
2024,1,712,Control,2,2.4
2024,1,712,Control,3,2.65
2024,1,712,Control,4,2.15
2024,1,712,Control,6,1
2024,1,712,Control,7,3.35
2024,1,712,Control,8,3.05
2024,1,712,Control,9,1.2
2024,1,712,Control,10,1.3
2024,1,712,Control,11,1.45
2024,1,712,Control,12,2.05
2024,1,712,Control,13,1.3
2024,1,712,Control,14,1.95
