Year,RGP,Treatment,RD,FirstMowTiming,PostMowLLL
2024,511,Early Mow,N,Early,22
2024,514,Rosette Damage/Early Mow/Late Mow,Y,Early,16
2024,532,Rosette Damage/Late Mow,Y,Late,14
2024,533,Early Mow/Late Mow,N,Early,18
2024,534,Rosette Damage/Early Mow,Y,Early,12
2024,552,Early Mow/Late Mow,N,Early,23
2024,554,Late Mow,N,Late,25
2024,571,Rosette Damage/Early Mow,Y,Early,12
2024,572,Rosette Damage/Late Mow,Y,Late,4
2024,574,Late Mow,N,Late,14
2024,621,Early Mow/Late Mow,N,Early,20
2024,622,Rosette Damage/Late Mow,Y,Late,3
2024,623,Rosette Damage/Early Mow,Y,Early,10
2024,624,Late Mow,N,Late,0
2024,641,Rosette Damage/Early Mow/Late Mow,Y,Early,12
2024,643,Early Mow,N,Early,20
2024,644,Late Mow,N,Late,19
2024,661,Early Mow,N,Early,20
2024,662,Rosette Damage/Late Mow,Y,Late,12
2024,663,Rosette Damage/Early Mow/Late Mow,Y,Early,12
2024,664,Rosette Damage/Early Mow,Y,Early,13
2024,681,Early Mow/Late Mow,N,Early,16
2024,683,Early Mow,N,Early,22
2024,684,Rosette Damage/Early Mow/Late Mow,Y,Early,13
2024,713,Early Mow/Late Mow,N,Early,19
2024,714,Late Mow,N,Late,10
2024,731,Early Mow/Late Mow,N,Early,23
2024,732,Early Mow,N,Early,18
2024,734,Rosette Damage/Early Mow,Y,Early,11
2024,751,Rosette Damage/Late Mow,Y,Late,14
2024,753,Rosette Damage/Early Mow/Late Mow,Y,Early,17
2024,754,Rosette Damage/Early Mow,Y,Early,13
2024,771,Early Mow,N,Early,18
2024,772,Rosette Damage/Late Mow,Y,Late,0.5
2024,774,Rosette Damage/Early Mow/Late Mow,Y,Early,13
2024,821,Rosette Damage/Early Mow,Y,Early,10
2024,822,Early Mow,N,Early,17
2024,823,Rosette Damage/Late Mow,Y,Late,11
2024,824,Rosette Damage/Early Mow/Late Mow,Y,Early,10
2024,841,Rosette Damage/Early Mow/Late Mow,Y,Early,16
2024,842,Late Mow,N,Late,27
2024,843,Rosette Damage/Late Mow,Y,Late,4
2024,861,Late Mow,N,Late,17
2024,863,Early Mow,N,Early,17
2024,864,Early Mow/Late Mow,N,Early,15
2024,881,Rosette Damage/Early Mow,Y,Early,14
2024,884,Late Mow,N,Late,12
2024,911,Late Mow,N,Late,24
2024,912,Rosette Damage/Late Mow,Y,Late,13
2024,914,Early Mow/Late Mow,N,Early,22
2024,931,Rosette Damage/Early Mow,Y,Early,18
2024,933,Early Mow/Late Mow,N,Early,19
2024,934,Early Mow,N,Early,18
2024,951,Rosette Damage/Early Mow/Late Mow,Y,Early,16
2024,953,Rosette Damage/Late Mow,Y,Late,13
2024,954,Early Mow/Late Mow,N,Early,17
2024,971,Rosette Damage/Early Mow/Late Mow,Y,Early,10
2024,972,Rosette Damage/Early Mow,Y,Early,13
2024,974,Late Mow,N,Late,21
2024,1021,Rosette Damage/Early Mow,Y,Early,11
2024,1022,Early Mow,N,Early,20
2024,1024,Rosette Damage/Early Mow/Late Mow,Y,Early,14
2024,1042,Rosette Damage/Late Mow,Y,Late,0
2024,1043,Late Mow,N,Late,19
2024,1044,Rosette Damage/Early Mow/Late Mow,Y,Early,11
2024,1061,Late Mow,N,Late,22
2024,1062,Rosette Damage/Early Mow,Y,Early,14
2024,1063,Early Mow,N,Early,16
2024,1081,Early Mow,N,Early,14
2024,1083,Early Mow/Late Mow,N,Early,22
2024,1084,Rosette Damage/Late Mow,Y,Late,10
2025,511,Early Mow/Late Mow,N,Early,17
2025,513,Late Mow,N,Late,16
2025,514,Rosette Damage/Early Mow/Late Mow,Y,Early,14
2025,551,Rosette Damage/Early Mow/Late Mow,Y,Early,21
2025,552,Rosette Damage/Late Mow,Y,Late,11
2025,553,Early Mow,N,Early,30
2025,641,Late Mow,N,Late,31
2025,643,Rosette Damage/Early Mow,Y,Early,13
2025,644,Early Mow/Late Mow,N,Early,39
2025,662,Rosette Damage/Late Mow,Y,Late,19
2025,663,Late Mow,N,Late,37
2025,664,Rosette Damage/Early Mow,Y,Early,14
2025,711,Rosette Damage/Late Mow,Y,Late,20
2025,712,Early Mow,N,Early,40
2025,713,Rosette Damage/Early Mow,Y,Early,11
2025,752,Rosette Damage/Early Mow/Late Mow,Y,Early,19
2025,753,Early Mow,N,Early,40
2025,754,Early Mow/Late Mow,N,Early,27
2025,862,Late Mow,N,Late,46
2025,863,Rosette Damage/Early Mow/Late Mow,Y,Early,16
2025,864,Rosette Damage/Early Mow,Y,Early,12
2025,881,Early Mow,N,Early,43
2025,882,Rosette Damage/Late Mow,Y,Late,5
2025,883,Early Mow/Late Mow,N,Early,24
2025,911,Early Mow,N,Early,23
2025,913,Rosette Damage/Late Mow,Y,Late,0
2025,931,Rosette Damage/Early Mow/Late Mow,Y,Early,27
2025,932,Rosette Damage/Early Mow,Y,Early,14
2025,933,Early Mow,N,Early,39
2025,934,Late Mow,N,Late,33
2025,951,Rosette Damage/Early Mow,Y,Early,16
2025,953,Late Mow,N,Late,26
2025,954,Rosette Damage/Late Mow,Y,Late,9
2025,973,Early Mow/Late Mow,N,Early,30
2025,974,Rosette Damage/Early Mow/Late Mow,Y,Early,11
2025,1021,Rosette Damage/Early Mow/Late Mow,Y,Early,13
2025,1022,Rosette Damage/Early Mow,Y,Early,17
2025,1023,Late Mow,N,Late,26
2025,1024,Early Mow/Late Mow,N,Early,34
2025,1043,Early Mow/Late Mow,N,Early,15
2025,1044,Rosette Damage/Late Mow,Y,Late,0
2025,1061,Early Mow/Late Mow,N,Early,28
2025,1062,Early Mow,N,Early,31
2025,1064,Rosette Damage/Early Mow/Late Mow,Y,Early,0
2025,1081,Early Mow,N,Early,28
2025,1082,Rosette Damage/Late Mow,Y,Late,12
2025,1083,Rosette Damage/Early Mow,Y,Early,12
2025,1084,Late Mow,N,Late,31
2025,1111,Early Mow/Late Mow,N,Early,25
2025,1112,Rosette Damage/Early Mow,Y,Early,24
2025,1113,Rosette Damage/Late Mow,Y,Late,0
2025,1114,Early Mow,N,Early,26
2025,1132,Rosette Damage/Early Mow/Late Mow,Y,Early,17
2025,1133,Late Mow,N,Late,18
2025,1152,Rosette Damage/Early Mow/Late Mow,Y,Early,16
2025,1153,Rosette Damage/Late Mow,Y,Late,15
2025,1154,Late Mow,N,Late,32
2025,1171,Early Mow/Late Mow,N,Early,24
2025,1172,Late Mow,N,Late,29
2025,1173,Rosette Damage/Early Mow,Y,Early,17
2025,1174,Rosette Damage/Early Mow/Late Mow,Y,Early,17
2025,1222,Rosette Damage/Early Mow/Late Mow,Y,Early,26
2025,1223,Late Mow,N,Late,38
2025,1241,Rosette Damage/Late Mow,Y,Late,27
2025,1242,Early Mow/Late Mow,N,Early,36
2025,1243,Rosette Damage/Early Mow,Y,Early,15
2025,1244,Early Mow,N,Early,33
2025,1262,Rosette Damage/Early Mow,Y,Early,19
2025,1263,Early Mow,N,Early,32
2025,1264,Early Mow/Late Mow,N,Early,19
2025,1282,Rosette Damage/Late Mow,Y,Late,20
2025,1283,Early Mow,N,Early,41
