Row,Group,Plant,Year,RD,Treatment,PreMowLLL
5,1,1,2024,N,Early Mow,21
5,1,4,2024,Y,Rosette Damage/Early Mow/Late Mow,23
5,3,2,2024,Y,Rosette Damage/Late Mow,16
5,3,3,2024,N,Early Mow/Late Mow,18
5,3,4,2024,Y,Rosette Damage/Early Mow,15
5,5,2,2024,N,Early Mow/Late Mow,20
5,5,4,2024,N,Late Mow,17
5,7,1,2024,Y,Rosette Damage/Early Mow,21
5,7,2,2024,Y,Rosette Damage/Late Mow,13
5,7,4,2024,N,Late Mow,15
6,2,1,2024,N,Early Mow/Late Mow,20
6,2,2,2024,Y,Rosette Damage/Late Mow,11
6,2,3,2024,Y,Rosette Damage/Early Mow,16
6,2,4,2024,N,Late Mow,13
6,4,1,2024,Y,Rosette Damage/Early Mow/Late Mow,17
6,4,3,2024,N,Early Mow,19
6,4,4,2024,N,Late Mow,22
6,6,1,2024,N,Early Mow,21
6,6,2,2024,Y,Rosette Damage/Late Mow,16
6,6,3,2024,Y,Rosette Damage/Early Mow/Late Mow,15
6,6,4,2024,Y,Rosette Damage/Early Mow,14
6,8,1,2024,N,Early Mow/Late Mow,16
6,8,3,2024,N,Early Mow,19
6,8,4,2024,Y,Rosette Damage/Early Mow/Late Mow,16
7,1,3,2024,N,Early Mow/Late Mow,18
7,1,4,2024,N,Late Mow,17
7,3,1,2024,N,Early Mow/Late Mow,23
7,3,2,2024,N,Early Mow,14
7,3,4,2024,Y,Rosette Damage/Early Mow,13
7,5,1,2024,Y,Rosette Damage/Late Mow,17
7,5,3,2024,Y,Rosette Damage/Early Mow/Late Mow,18
7,5,4,2024,Y,Rosette Damage/Early Mow,18
7,7,1,2024,N,Early Mow,17
7,7,2,2024,Y,Rosette Damage/Late Mow,15
7,7,4,2024,Y,Rosette Damage/Early Mow/Late Mow,17
8,2,1,2024,Y,Rosette Damage/Early Mow,12
8,2,2,2024,N,Early Mow,17
8,2,3,2024,Y,Rosette Damage/Late Mow,16
8,2,4,2024,Y,Rosette Damage/Early Mow/Late Mow,14
8,4,1,2024,Y,Rosette Damage/Early Mow/Late Mow,20
8,4,2,2024,N,Late Mow,25
8,4,3,2024,Y,Rosette Damage/Late Mow,12
8,6,1,2024,N,Late Mow,18
8,6,3,2024,N,Early Mow,22
8,6,4,2024,N,Early Mow/Late Mow,17
8,8,1,2024,Y,Rosette Damage/Early Mow,19
8,8,4,2024,N,Late Mow,13
9,1,1,2024,N,Late Mow,27
9,1,2,2024,Y,Rosette Damage/Late Mow,17
9,1,4,2024,N,Early Mow/Late Mow,22
9,3,1,2024,Y,Rosette Damage/Early Mow,18
9,3,3,2024,N,Early Mow/Late Mow,23
9,3,4,2024,N,Early Mow,19
9,5,1,2024,Y,Rosette Damage/Early Mow/Late Mow,21
9,5,3,2024,Y,Rosette Damage/Late Mow,18
9,5,4,2024,N,Early Mow/Late Mow,16
9,7,1,2024,Y,Rosette Damage/Early Mow/Late Mow,15
9,7,2,2024,Y,Rosette Damage/Early Mow,16
9,7,4,2024,N,Late Mow,20
10,2,1,2024,Y,Rosette Damage/Early Mow,13
10,2,2,2024,N,Early Mow,21
10,2,4,2024,Y,Rosette Damage/Early Mow/Late Mow,22
10,4,2,2024,Y,Rosette Damage/Late Mow,12
10,4,3,2024,N,Late Mow,20
10,4,4,2024,Y,Rosette Damage/Early Mow/Late Mow,12
10,6,1,2024,N,Late Mow,23
10,6,2,2024,Y,Rosette Damage/Early Mow,20
10,6,3,2024,N,Early Mow,16
10,8,1,2024,N,Early Mow,16
10,8,3,2024,N,Early Mow/Late Mow,24
10,8,4,2024,Y,Rosette Damage/Late Mow,16
5,1,1,2025,N,Early Mow/Late Mow,19
5,1,3,2025,N,Late Mow,20
5,1,4,2025,Y,Rosette Damage/Early Mow/Late Mow,22
5,5,1,2025,Y,Rosette Damage/Early Mow/Late Mow,20
5,5,2,2025,Y,Rosette Damage/Late Mow,18
5,5,3,2025,N,Early Mow,30
6,4,1,2025,N,Late Mow,30
6,4,3,2025,Y,Rosette Damage/Early Mow,19
6,4,4,2025,N,Early Mow/Late Mow,38
6,6,2,2025,Y,Rosette Damage/Late Mow,24
6,6,3,2025,N,Late Mow,40
6,6,4,2025,Y,Rosette Damage/Early Mow,22
7,1,1,2025,Y,Rosette Damage/Late Mow,22
7,1,2,2025,N,Early Mow,41
7,1,3,2025,Y,Rosette Damage/Early Mow,21
7,5,2,2025,Y,Rosette Damage/Early Mow/Late Mow,27
7,5,3,2025,N,Early Mow,43
7,5,4,2025,N,Early Mow/Late Mow,26
8,6,2,2025,N,Late Mow,42
8,6,3,2025,Y,Rosette Damage/Early Mow/Late Mow,28
8,6,4,2025,Y,Rosette Damage/Early Mow,26
8,8,1,2025,N,Early Mow,44
8,8,2,2025,Y,Rosette Damage/Late Mow,17
8,8,3,2025,N,Early Mow/Late Mow,23
9,1,1,2025,N,Early Mow,23
9,1,3,2025,Y,Rosette Damage/Late Mow,16
9,3,1,2025,Y,Rosette Damage/Early Mow/Late Mow,25
9,3,2,2025,Y,Rosette Damage/Early Mow,20
9,3,3,2025,N,Early Mow,38
9,3,4,2025,N,Late Mow,32
9,5,1,2025,Y,Rosette Damage/Early Mow,21
9,5,3,2025,N,Late Mow,22
9,5,4,2025,Y,Rosette Damage/Late Mow,15
9,7,3,2025,N,Early Mow/Late Mow,31
9,7,4,2025,Y,Rosette Damage/Early Mow/Late Mow,30
10,2,1,2025,Y,Rosette Damage/Early Mow/Late Mow,9
10,2,2,2025,Y,Rosette Damage/Early Mow,17
10,2,3,2025,N,Late Mow,19
10,2,4,2025,N,Early Mow/Late Mow,27
10,4,3,2025,N,Early Mow/Late Mow,17
10,4,4,2025,Y,Rosette Damage/Late Mow,14
10,6,1,2025,N,Early Mow/Late Mow,25
10,6,2,2025,N,Early Mow,31
10,6,4,2025,Y,Rosette Damage/Early Mow/Late Mow,17
10,8,1,2025,N,Early Mow,25
10,8,2,2025,Y,Rosette Damage/Late Mow,28
10,8,3,2025,Y,Rosette Damage/Early Mow,13
10,8,4,2025,N,Late Mow,32
11,1,1,2025,N,Early Mow/Late Mow,25
11,1,2,2025,Y,Rosette Damage/Early Mow,20
11,1,3,2025,Y,Rosette Damage/Late Mow,13
11,1,4,2025,N,Early Mow,25
11,3,2,2025,Y,Rosette Damage/Early Mow/Late Mow,21
11,3,3,2025,N,Late Mow,16
11,5,2,2025,Y,Rosette Damage/Early Mow/Late Mow,24
11,5,3,2025,Y,Rosette Damage/Late Mow,13
11,5,4,2025,N,Late Mow,34
11,7,1,2025,N,Early Mow/Late Mow,23
11,7,2,2025,N,Late Mow,32
11,7,3,2025,Y,Rosette Damage/Early Mow,15
11,7,4,2025,Y,Rosette Damage/Early Mow/Late Mow,27
12,2,2,2025,Y,Rosette Damage/Early Mow/Late Mow,32
12,2,3,2025,N,Late Mow,35
