Year,Block,RGP,Treatment,TimeOfDeath_doe,TimeOfDeath_doy,Status
2025,1,511,Early Mow/Late Mow,96,216,1
2025,1,512,Control,96,216,1
2025,1,513,Late Mow,96,216,1
2025,1,514,Rosette Damage/Early Mow/Late Mow,100,220,1
2025,1,551,Rosette Damage/Early Mow/Late Mow,100,220,1
2025,1,552,Rosette Damage/Late Mow,96,216,1
2025,1,553,Early Mow,89,209,1
2025,1,554,Control,89,209,1
2025,1,641,Late Mow,83,203,1
2025,1,642,Rosette Damage,96,216,1
2025,1,643,Rosette Damage/Early Mow,96,216,1
2025,1,644,Early Mow/Late Mow,100,220,1
2025,1,661,Control,83,203,1
2025,1,662,Rosette Damage/Late Mow,89,209,1
2025,1,663,Late Mow,89,209,1
2025,1,664,Rosette Damage/Early Mow,96,216,1
2025,1,711,Rosette Damage/Late Mow,89,209,1
2025,1,712,Early Mow,96,216,1
2025,1,713,Rosette Damage/Early Mow,96,216,1
2025,1,714,Rosette Damage,96,216,1
2025,1,751,Rosette Damage,96,216,1
2025,1,752,Rosette Damage/Early Mow/Late Mow,96,216,1
2025,1,753,Early Mow,96,216,1
2025,1,754,Early Mow/Late Mow,89,209,1
2025,1,861,Control,83,203,1
2025,1,862,Late Mow,96,216,1
2025,1,863,Rosette Damage/Early Mow/Late Mow,96,216,1
2025,1,864,Rosette Damage/Early Mow,89,209,1
2025,1,881,Early Mow,89,209,1
2025,1,882,Rosette Damage/Late Mow,54,174,1
2025,1,883,Early Mow/Late Mow,89,209,1
2025,1,884,Rosette Damage,96,216,1
2025,2,911,Early Mow,96,216,1
2025,2,912,Rosette Damage,96,216,1
2025,2,913,Rosette Damage/Late Mow,68,188,1
2025,2,914,Control,96,216,1
2025,2,931,Rosette Damage/Early Mow/Late Mow,107,227,1
2025,2,932,Rosette Damage/Early Mow,96,216,1
2025,2,933,Early Mow,107,227,1
2025,2,934,Late Mow,96,216,1
2025,2,951,Rosette Damage/Early Mow,96,216,1
2025,2,952,Control,96,216,1
2025,2,953,Late Mow,96,216,1
2025,2,954,Rosette Damage/Late Mow,68,188,1
2025,2,971,Rosette Damage,96,216,1
2025,2,972,Control,96,216,1
2025,2,973,Early Mow/Late Mow,96,216,1
2025,2,974,Rosette Damage/Early Mow/Late Mow,96,216,1
2025,2,1021,Rosette Damage/Early Mow/Late Mow,68,188,1
2025,2,1022,Rosette Damage/Early Mow,100,220,1
2025,2,1023,Late Mow,83,203,1
2025,2,1024,Early Mow/Late Mow,100,220,1
2025,2,1041,Rosette Damage,96,216,1
2025,2,1042,Control,89,209,1
2025,2,1043,Early Mow/Late Mow,68,188,1
2025,2,1044,Rosette Damage/Late Mow,68,188,1
2025,2,1061,Early Mow/Late Mow,100,220,1
2025,2,1062,Early Mow,100,220,1
2025,2,1063,Rosette Damage,96,216,1
2025,2,1064,Rosette Damage/Early Mow/Late Mow,48,168,1
2025,2,1081,Early Mow,89,209,1
2025,2,1082,Rosette Damage/Late Mow,76,196,1
2025,2,1083,Rosette Damage/Early Mow,100,220,1
2025,2,1084,Late Mow,96,216,1
2025,2,1111,Early Mow/Late Mow,96,216,1
2025,2,1112,Rosette Damage/Early Mow,96,216,1
2025,2,1113,Rosette Damage/Late Mow,61,181,1
2025,2,1114,Early Mow,96,216,1
2025,2,1131,Control,96,216,1
2025,2,1132,Rosette Damage/Early Mow/Late Mow,100,220,1
2025,2,1133,Late Mow,76,196,1
2025,2,1134,Rosette Damage,96,216,1
2025,2,1151,Control,96,216,1
2025,2,1152,Rosette Damage/Early Mow/Late Mow,68,188,1
2025,2,1153,Rosette Damage/Late Mow,68,188,1
2025,2,1154,Late Mow,107,227,1
2025,2,1171,Early Mow/Late Mow,96,216,1
2025,2,1172,Late Mow,100,220,1
2025,2,1173,Rosette Damage/Early Mow,83,203,1
2025,2,1174,Rosette Damage/Early Mow/Late Mow,100,220,1
2025,2,1221,Control,96,216,1
2025,2,1222,Rosette Damage/Early Mow/Late Mow,89,209,1
2025,2,1223,Late Mow,96,216,1
2025,2,1224,Rosette Damage,100,220,1
2025,2,1241,Rosette Damage/Late Mow,89,209,1
2025,2,1242,Early Mow/Late Mow,107,227,1
2025,2,1243,Rosette Damage/Early Mow,96,216,1
2025,2,1244,Early Mow,100,220,1
2025,2,1261,Rosette Damage,107,227,1
2025,2,1262,Rosette Damage/Early Mow,107,227,1
2025,2,1263,Early Mow,100,220,1
2025,2,1264,Early Mow/Late Mow,107,227,1
2025,2,1281,Control,96,216,1
2025,2,1282,Rosette Damage/Late Mow,76,196,1
2025,2,1283,Early Mow,96,216,1
2025,2,1284,Rosette Damage,96,216,1
2024,1,511,Early Mow,94,216,1
2024,1,512,Control,83,205,1
2024,1,513,Rosette Damage,94,216,1
2024,1,514,Rosette Damage/Early Mow/Late Mow,94,216,1
2024,2,531,Control,83,205,1
2024,2,532,Rosette Damage/Late Mow,48,170,1
2024,2,533,Early Mow/Late Mow,83,205,1
2024,2,534,Rosette Damage/Early Mow,94,216,1
